YM,monthNumber,TAVG_Celsius,avgTempsC,month,Diff
196202,2,-5.198412698,-6.990482102,February,1.792069404
196203,3,-7.491039427,-3.841269841,March,-3.649769585
196204,4,3.777777778,2.427875244,April,1.349902534
196205,5,8.584229391,9.522613065,May,-0.938383675
196206,6,12.03703704,14.71189774,June,-2.674860701
196207,7,14.62365591,16.49888143,July,-1.875225518
196208,8,13.02867384,15.02207506,August,-1.99340122
196209,9,9.37037037,9.91091954,September,-0.54054917
196210,10,6.792114695,4.947222222,October,1.844892473
196211,11,1.5,0.323512421,November,1.176487579
196212,12,-6.810035842,-4.168044077,December,-2.641991765
196301,1,-9.892473118,-5.877342419,January,-4.015130699
196302,2,-10.83333333,-6.990482102,February,-3.842851231
196303,3,-8.727598566,-3.841269841,March,-4.886328725
196304,4,2.814814815,2.427875244,April,0.386939571
196305,5,13.2078853,9.522613065,May,3.685272239
196306,6,14.82758621,14.71189774,June,0.115688468
196307,7,16.88172043,16.49888143,July,0.382838998
196308,8,16.34408602,15.02207506,August,1.322010966
196309,9,12.62962963,9.91091954,September,2.718710089
196310,10,6.021505376,4.947222222,October,1.074283154
196311,11,-0.185185185,0.323512421,November,-0.508697606
196312,12,-4.139784946,-4.168044077,December,0.028259131
196401,1,,-5.877342419,January,
196402,2,,-6.990482102,February,
196403,3,,-3.841269841,March,
196404,4,,2.427875244,April,
196405,5,,9.522613065,May,
196406,6,,14.71189774,June,
196407,7,,16.49888143,July,
196408,8,,15.02207506,August,
196409,9,,9.91091954,September,
196410,10,,4.947222222,October,
196411,11,,0.323512421,November,
196412,12,,-4.168044077,December,
196501,1,,-5.877342419,January,
196502,2,,-6.990482102,February,
196503,3,,-3.841269841,March,
196504,4,,2.427875244,April,
196505,5,,9.522613065,May,
196506,6,,14.71189774,June,
196507,7,,16.49888143,July,
196508,8,,15.02207506,August,
196509,9,,9.91091954,September,
196510,10,,4.947222222,October,
196511,11,,0.323512421,November,
196512,12,,-4.168044077,December,
196601,1,,-5.877342419,January,
196602,2,,-6.990482102,February,
196603,3,,-3.841269841,March,
196604,4,,2.427875244,April,
196605,5,,9.522613065,May,
196606,6,,14.71189774,June,
196607,7,,16.49888143,July,
196608,8,,15.02207506,August,
196609,9,,9.91091954,September,
196610,10,,4.947222222,October,
196611,11,,0.323512421,November,
196612,12,,-4.168044077,December,
196701,1,,-5.877342419,January,
196702,2,,-6.990482102,February,
196703,3,,-3.841269841,March,
196704,4,,2.427875244,April,
196705,5,,9.522613065,May,
196706,6,,14.71189774,June,
196707,7,,16.49888143,July,
